eBird species code 2019,English name,scientific name,range,eBird species group
beascr1,Bearded Scrub-Robin (Bearded),Cercotrichas quadrivirgata quadrivirgata,"S Somalia to Kenya, Tanzania, Botswana, Zambia and ne S Africa",Old World Flycatchers
beascr2,Bearded Scrub-Robin (Zanzibar),Cercotrichas quadrivirgata greenwayi,Zanzibar and Mafia I. (off Tanzania),Old World Flycatchers
beasib1,Beautiful Sibia,Heterophasia pulchella,"Mountains of ne India to se Tibet, sw China and ne Myanmar",Laughingthrushes and Allies
beasne1,Beaudouin's Snake-Eagle,Circaetus beaudouini,"southwestern Mauritania south to Guinea, east to southwestern Sudan and western South Sudan, possibly to northern Uganda","Vultures, Hawks, and Allies"
beasun1,Beautiful Sunbird (Beautiful),Cinnyris pulchellus pulchellus,"Senegal to Mali, s Niger (Aïr Massif ), Uganda and e Sudan",Sunbirds and Spiderhunters
beasun2,Beautiful Sunbird,Cinnyris pulchellus,,Sunbirds and Spiderhunters
beasun3,Beautiful Sunbird (Gorgeous),Cinnyris pulchellus melanogastrus,"Eritrea to Ethiopia, ne Democratic Republic of the Congo, Uganda, Kenya and sw Tanzania",Sunbirds and Spiderhunters
beatac1,Bearded Tachuri,Polystictus pectoralis,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
beathk1,Beach Thick-knee,Esacus magnirostris,Andaman Is. and Malay Pen. to Philippines and Australasia,Shorebirds
beatre1,Beautiful Treerunner,Margarornis bellulus,Humid montane forests of e Panama (Mt. Pirre),Ovenbirds
beawoo1,Bearded Woodpecker,Chloropicus namaquus,,Woodpeckers
beawoo2,Beautiful Woodpecker,Melanerpes pulcher,N Colombia (Magdalena Valley),Woodpeckers
becard1,becard sp.,Pachyramphus sp.,,"Becards, Tityras, and Allies"
becpet1,Beck's Petrel,Pseudobulweria becki,Breeding sites unknown (New Ireland?); ranges to Bismarck A. and Solomon I.,"Petrels, Shearwaters, and Diving-Petrels"
becscr1,Tropical Scrubwren,Sericornis beccarii,,Thornbills and Allies
bee-ea1,bee-eater sp.,Merops sp.,,"Bee-eaters, Rollers, and Allies"
beehum1,Bee Hummingbird,Mellisuga helenae,Cuba and Isle of Pines,Hummingbirds
beelar1,Beesley's Lark,Chersomanes beesleyi,N Tanzania (area just north of Mt. Meru),Larks
befdov1,Beautiful Fruit-Dove,Ptilinopus pulchellus,,Pigeons and Doves
begdov1,Bare-eyed Ground Dove,Metriopelia morenoi,Andes of nw Argentina,Pigeons and Doves
begdov2,Blue-eyed Ground Dove,Columbina cyanopis,Cerrado of s-central Brazil,Pigeons and Doves
beibab1,Beijing Babbler,Rhopophilus pekinensis,"central and northeastern China, and northern Korean Peninsula","Parrotbills, Wrentit, and Allies"
belfly1,Belted Flycatcher,Xenotriccus callizonus,"Highlands of s Mexico (Chiapas), Guatemala and El Salavdor","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
belgul,Belcher's Gull,Larus belcheri,Humboldt Current of Peru and Chile; disperses to Ecuador,"Gulls, Terns, and Skimmers"
belkin1,Belted Kingfisher,Megaceryle alcyon,Cent. and e Canada to n S America; W Indies; Trinidad; Tobago,Kingfishers
belmel1,Belford's Melidectes,Melidectes belfordi,,Honeyeaters
belmin1,Bell Miner,Manorina melanophrys,Coastal e Australia (se Queensland to s Victoria),Honeyeaters
belspa1,Bell's Sparrow (belli),Artemisiospiza belli belli,coastal sage and chaparral of California and northwestern Baja California,New World Sparrows
belspa2,Bell's Sparrow,Artemisiospiza belli,,New World Sparrows
belspa3,Bell's Sparrow (canescens),Artemisiospiza belli canescens,Interior s-c California,New World Sparrows
belvir,Bell's Vireo,Vireo bellii,,Vireos
belvir1,Bell's Vireo (Eastern),Vireo bellii bellii/medius,,Vireos
belvir2,Bell's Vireo (Arizona),Vireo bellii arizonae,SW US; winters from Baja and central Sonora to Colima,Vireos
belvir3,Bell's Vireo (Least),Vireo bellii pusillus,Arid s California; winters to s Baja,Vireos
belyel1,Belding's Yellowthroat,Geothlypis beldingi,,Wood-Warblers
benbus1,Bengal Bushlark,Mirafra assamica,"N India to s Nepal, Bhutan, Bangladesh and extreme w Myanmar.",Larks
benbuw1,Benguet Bush Warbler,Locustella seebohmi,Mountains of n Luzon (n Philippines),Grassbirds and Allies
benflo2,Bengal Florican,Houbaropsis bengalensis,,Bustards
benlar1,Benguela Lark,Certhilauda benguelensis,,Larks
benrot1,Forest Rock-Thrush (Benson's),Monticola sharpei bensoni,Montane rocky areas of s-c Madagascar,Old World Flycatchers
benthr,Bendire's Thrasher,Toxostoma bendirei,,"Catbirds, Mockingbirds, and Thrashers"
benwea1,Black-breasted Weaver,Ploceus benghalensis,"Lowlands of Pakistan to peninsular India, Nepal and Bangladesh",Weavers and Allies
benwoo1,Bennett's Woodpecker,Campethera bennettii,,Woodpeckers
benwoo2,Bennett's Woodpecker (Bennett's),Campethera bennettii bennettii,"Angola to se Democratic Republic of the Congo, Tanzania, Malawi and ne South Africa",Woodpeckers
benwoo3,Bennett's Woodpecker (Light-spotted),Campethera bennettii capricorni,"S Angola to n Namibia, n Botswana and sw Zambia",Woodpeckers
bepfly1,Bedford's Paradise-Flycatcher,Terpsiphone bedfordi,E Democratic Republic of the Congo (ne Ituri and region west of Itombwe and Kahuzi Mts.),Monarch Flycatchers
berant1,Bertoni's Antbird,Drymophila rubricollis,SE Brazil to extreme e Paraguay and ne Argentina (Misiones),Antbirds
bercan1,Berlepsch's Canastero,Asthenes berlepschi,Andes of w Bolivia (Nevado Illampu region in La Paz),Ovenbirds
berhum,Berylline Hummingbird,Amazilia beryllina,,Hummingbirds
berhum1,Berylline Hummingbird (Northern),Amazilia beryllina beryllina/viola,,Hummingbirds
berhum2,Berylline Hummingbird (Sumichrast's),Amazilia beryllina [devillei Group],,Hummingbirds
berpet,Bermuda Petrel,Pterodroma cahow,Breeds Nonsuch I. (Bermuda); disperses to Gulf Stream,"Petrels, Shearwaters, and Diving-Petrels"
berpip1,Berthelot's Pipit,Anthus berthelotii,,Wagtails and Pipits
bertea1,Bernier's Teal,Anas bernieri,Lowlands of w Madagascar (population ±20 birds 1993),Waterfowl
bertin1,Berlepsch's Tinamou,Crypturellus berlepschi,Tropical forests of nw Colombia to nw Ecuador,Tinamous
bervan1,Bernier's Vanga,Oriolia bernieri,Humid forests of e Madagascar,"Vangas, Helmetshrikes, and Allies"
berwea2,Bertram's Weaver,Ploceus bertrandi,"Highlands of Tanzania, Zambia, Malawi and n Mozambique",Weavers and Allies
besbab1,Black-eared Shrike-Babbler,Pteruthius melanotis,,Shrike-Babblers and Erpornis
beslar1,Black-eared Sparrow-Lark,Eremopterix australis,Grassy plains of s Namibia to s Botswana and n South Africa,Larks
besowl,Bearded Screech-Owl,Megascops barbarus,Montane forests of s Mexico (Chiapas) and n Guatemala,Owls
besra1,Besra,Accipiter virgatus,,"Vultures, Hawks, and Allies"
besrob1,Bearded Scrub-Robin,Cercotrichas quadrivirgata,,Old World Flycatchers
bestan1,Beryl-spangled Tanager,Tangara nigroviridis,,Tanagers and Allies
beweye1,Bare-eyed White-eye,Woodfordia superciliosa,Open woodlands of Rennell (se Solomon Is.),"White-eyes, Yuhinas, and Allies"
bewpar1,Bearded Wood-Partridge,Dendrortyx barbatus,Humid montane forests of ne Mexico,"Grouse, Quail, and Allies"
bewqua1,Black-eared Wood-Quail,Odontophorus melanotis,,"Grouse, Quail, and Allies"
bewswa1,Tundra Swan (Bewick's),Cygnus columbianus bewickii,Kola Peninsula to arctic n Siberia; winters w Europe to s Asia,Waterfowl
bewwre,Bewick's Wren,Thryomanes bewickii,,Wrens
bewwre1,Bewick's Wren (spilurus Group),Thryomanes bewickii [spilurus Group],,Wrens
bewwre2,Bewick's Wren (mexicanus Group),Thryomanes bewickii [mexicanus Group],,Wrens
bewwre3,Bewick's Wren (bewickii),Thryomanes bewickii bewickii,"eastern North America, from northeastern Kansas and southern Iowa east to southern Ontario and central Pennsylvania, south to northern Arkansas, northern Alabama, and central South Carolina; but extirpated from most of its range east of the Mississippi River",Wrens
bfbwar1,Brownish-flanked Bush Warbler,Horornis fortipes,,Bush Warblers and Allies
bfbwar2,Brownish-flanked Bush Warbler (Brownish-flanked),Horornis fortipes [fortipes Group],,Bush Warblers and Allies
bfbwar3,Brownish-flanked Bush Warbler (Taiwan),Horornis fortipes robustipes,Mountains of Taiwan,Bush Warblers and Allies
bffgle,Buff-fronted Foliage-gleaner,Philydor rufum,,Ovenbirds
bfgbir1,Bare-faced Go-away-bird,Corythaixoides personatus,,Turacos
bfgdov1,Bare-faced Ground Dove,Metriopelia ceciliae,,Pigeons and Doves
bfgtyr1,Black-fronted Ground-Tyrant,Muscisaxicola frontalis,Andes of Chile and Argentina; winters n to s Peru (Arequipa),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
bfoboo,Blue-footed Booby,Sula nebouxii,,"Frigatebirds, Boobies, and Gannets"
bfpgua1,Black-fronted Piping-Guan,Pipile jacutinga,E Brazil (Bahia) to se Paraguay and ne Argentina,"Chachalacas, Guans, and Curassows"
bfppar1,Buff-faced Pygmy-Parrot,Micropsitta pusio,,"Parrots, Parakeets, and Allies"
bfqdov1,Buff-fronted Quail-Dove,Zentrygon costaricensis,Humid montane forests of Costa Rica and w Panama,Pigeons and Doves
bfweye1,Black-fronted White-eye,Zosterops minor,,"White-eyes, Yuhinas, and Allies"
bfwqua1,Black-fronted Wood-Quail,Odontophorus atrifrons,,"Grouse, Quail, and Allies"
bhbeat1,Black-headed Bee-eater,Merops breweri,Coastal Gabon and locally along Congo River,"Bee-eaters, Rollers, and Allies"
bhbeat2,Blue-headed Bee-eater,Merops muelleri,Cameroon to Democractic Republoc of the Congo and Kenya,"Bee-eaters, Rollers, and Allies"
bhcfly1,Blue-headed Crested-Flycatcher,Trochocercus nitens,,Monarch Flycatchers
bhmfin1,Black-headed Mountain-Finch,Leucosticte brandti,,"Finches, Euphonias, and Allies"
bhnthr1,Black-headed Nightingale-Thrush,Catharus mexicanus,,Thrushes
bhpfly1,Black-headed Paradise-Flycatcher,Terpsiphone rufiventer,,Monarch Flycatchers
bhpkin1,Brown-headed Paradise-Kingfisher,Tanysiptera danae,SE New Guinea (Aroa River to Waria River),Kingfishers
bhptit1,Black-headed Penduline-Tit,Remiz macronyx,,Penduline-Tits and Verdin
bhqdov1,Blue-headed Quail-Dove,Starnoenas cyanocephala,Lowlands of Cuba (in danger of extinction),Pigeons and Doves
bhrtai1,Blue-headed Racquet-tail,Prioniturus platenae,"S Philippines (Balabac, Palawan, Calamian and adj. islands)","Parrots, Parakeets, and Allies"
bhsbab1,Black-headed Shrike-Babbler,Pteruthius rufiventer,"Nepal to Bhutan, Assam, n Myanmar, Sichuan, nw Yunnan, nw Vietnam (Fansipan Mountain)",Shrike-Babblers and Erpornis
bhsfin1,Black-hooded Sierra-Finch,Phrygilus atriceps,"Andes of sw Peru (Arequipa) to w Bolivia, n Chile, nw Argentina",Tanagers and Allies
bhtfly1,Black-headed Tody-Flycatcher,Todirostrum nigriceps,Caribbean slope of Costa Rica to w Ecuador and nw Venezuela,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
bhulau1,Bhutan Laughingthrush,Trochalopteron imbricatum,Bhutan and se Tibet,Laughingthrushes and Allies
bhwdov1,Blue-headed Wood-Dove,Turtur brehmeri,,Pigeons and Doves
bhweye1,Black-headed White-eye,Zosterops hypoxanthus,,"White-eyes, Yuhinas, and Allies"
biacou1,Biak Coucal,Centropus chalybeus,Biak I. (Geelvink Bay off n New Guinea),Cuckoos
biafly1,Biak Flycatcher,Myiagra atra,Numfor and Biak islands (New Guinea),Monarch Flycatchers
biager1,Biak Gerygone,Gerygone hypoxantha,Biak I. (off nw New Guinea),Thornbills and Allies
biamon1,Biak Monarch,Symposiachrus brehmii,Biak I. off nw New Guinea,Monarch Flycatchers
biasco1,Biak Scops-Owl,Otus beccarii,Biak I. (off nw New Guinea),Owls
biawar1,Bianchi's Warbler,Phylloscopus valentini,,Leaf Warblers
biawhi1,Biak Whistler,Pachycephala melanorhyncha,Biak I. (New Guinea),Whistlers and Allies
bicant2,Bicolored Antbird,Gymnopithys bicolor,,Antbirds
bicant3,Bicolored Antpitta,Grallaria rufocinerea,,Gnateaters and Antpittas
bicant4,Bicolored Antvireo,Dysithamnus occidentalis,,Antbirds
biccon1,Bicolored Conebill,Conirostrum bicolor,,Tanagers and Allies
bicflo1,Bicolored Flowerpecker,Dicaeum bicolor,,Flowerpeckers
bichaw1,Bicolored Hawk,Accipiter bicolor,,"Vultures, Hawks, and Allies"
bichaw2,Bicolored Hawk (Bicolored),Accipiter bicolor bicolor/fidens,,"Vultures, Hawks, and Allies"
bichaw3,Bicolored Hawk (Spotted),Accipiter bicolor pileatus/guttifer,,"Vultures, Hawks, and Allies"
bichaw4,Bicolored Hawk (Chilean),Accipiter bicolor chilensis,Andes of central Chile and Argentina to Tierra del Fuego,"Vultures, Hawks, and Allies"
bicpen1,Erect-crested Penguin,Eudyptes sclateri,Subantarctic New Zealand and Australian waters,Penguins
bicthr,Bicknell's Thrush,Catharus bicknelli,"breeds in eastern Canada (eastern Quebec, Nova Scotia, and New Brunswick) and adjacent United States (eastern New York, Vermont, New Hampshire, and Maine); primarily winters on Hispaniola (Dominican Republic), and locally on eastern Cuba, eastern Jamaica, and eastern Puerto Rico",Thrushes
bicwre1,Bicolored Wren,Campylorhynchus griseus,,Wrens
bielau1,Biet's Laughingthrush,Ianthocincla bieti,Mountains of s China (sw Sichuan and nw Yunnan),Laughingthrushes and Allies
biipig1,Bismarck Imperial-Pigeon,Ducula melanochroa,Bismarck Archipelago,Pigeons and Doves
bimlar1,Bimaculated Lark,Melanocorypha bimaculata,Turkey to Iran and Afghanistan; >ne Africa and India,Larks
bimwar1,Bicolored Mouse-Warbler,Crateroscelis nigrorufa,,Thornbills and Allies
bipkin1,Biak Paradise-Kingfisher,Tanysiptera riedelii,Biak I. (off w New Guinea),Kingfishers
bird1,bird sp.,Aves sp.,,Others
bisfan1,Bismarck Fantail,Rhipidura dahli,,Fantails
bisfly1,Bismarck Flyrobin (undescribed form),Microeca [undescribed form],New Britain and New Ireland (Bismarck Archipelago),Australasian Robins
bishao1,Bismarck Boobook,Ninox variegata,,Owls
biskin1,Bismarck Kingfisher,Ceyx websteri,Lowlands of Bismarck Archipelago,Kingfishers
bismel1,Bismarck Honeyeater,Vosea whitemanensis,Mts. of central New Britain (Bismarck Archipelago),Honeyeaters
bismun1,Bismarck Munia,Lonchura melaena,,Estrildids
bisswi1,Biscutate Swift,Streptoprocne biscutata,,Swifts
bisthi1,Bismarck Thicketbird,Cincloramphus grosvenori,Known from 2 specimens from New Britain (Bismarck Arch.),Grassbirds and Allies
biswhi1,Bismarck Whistler,Pachycephala citreogaster,,Whistlers and Allies
biswoo1,Bismarck Woodswallow,Artamus insignis,Bismarck Archipelago (New Britain and New Ireland),Woodswallows
biweye1,Biak White-eye,Zosterops mysorensis,Mts. of Biak and Supiori islands (off nw New Guinea),"White-eyes, Yuhinas, and Allies"
bkbalb,Black-browed Albatross,Thalassarche melanophris,,Albatrosses
bkbalb1,Black-browed Albatross (Black-browed),Thalassarche melanophris melanophris,Cape Horn Archipelago to Antipodes Islands,Albatrosses
bkbalb2,Black-browed Albatross (Campbell),Thalassarche melanophris impavida,Campbell Islands and adjacent islands off New Zealand,Albatrosses
bkbbar1,Black-backed Barbet (Brown-backed),Lybius minor minor,southern Gabon and western Democratic Republic of the Congo to western Angola,Barbets and Toucans
bkbbar2,Black-backed Barbet (Black-backed),Lybius minor macclounii,"south central Democratic Republic of the Congo to western Tanzania, central Angola, northern Zambia, and Malawi",Barbets and Toucans
bkbbit1,Black-backed Bittern,Ixobrychus dubius,SW and e Australia and New Guinea,"Herons, Ibis, and Allies"
bkbbrt1,Yellow-legged Brushturkey,Talegalla fuscirostris,,Megapodes
bkbbus1,Black-bellied Bustard,Lissotis melanogaster,,Bustards
bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,Breeds e North America; winters to Bolivia,Cuckoos
bkbcus1,Black-bibbed Cuckooshrike,Edolisoma mindanense,,Cuckooshrikes
bkbcus2,Black-bellied Cicadabird,Edolisoma montanum,,Cuckooshrikes
bkbful1,Black-browed Fulvetta,Alcippe grotei,,Laughingthrushes and Allies
bkbgro1,Black-backed Grosbeak (Black-rumped),Pheucticus aureoventris aureoventris,"S Peru (Puno) to e Bolivia, n Paraguay, w Brazil and nw Argentina","Cardinals, Grosbeaks, and Allies"
bkbgro2,Black-backed Grosbeak (Merida),Pheucticus aureoventris meridensis,Andes of w Venezuela (Mérida),"Cardinals, Grosbeaks, and Allies"
bkbgro3,Black-backed Grosbeak (Yellow-throated),Pheucticus aureoventris crissalis,Andes of sw Colombia (Nariño) and Ecuador,"Cardinals, Grosbeaks, and Allies"
bkbgro4,Black-backed Grosbeak (Yellow-rumped),Pheucticus aureoventris uropygialis/terminalis,,"Cardinals, Grosbeaks, and Allies"
bkbkin1,Black-backed Dwarf-Kingfisher,Ceyx erithaca,,Kingfishers
bkbkit1,Black-breasted Kite,Hamirostra melanosternon,N and interior plains and scrub of Australia,"Vultures, Hawks, and Allies"
bkbkoe1,Black-billed Koel,Eudynamys melanorhynchus,,Cuckoos
bkbmag1,Black-billed Magpie,Pica hudsonia,Alaska and Yukon to w Canada and w US,"Jays, Magpies, Crows, and Ravens"
bkbmyz1,Black-breasted Myzomela,Myzomela vulnerata,Timor (Lesser Sundas),Honeyeaters
bkbowl1,Black-banded Owl,Ciccaba huhula,,Owls
bkbplo,Black-bellied Plover,Pluvialis squatarola,Holarctic; almost cosmopolitan post-breeding dispersal,Shorebirds
bkbsht1,Black-billed Shrike-Tyrant,Agriornis montanus,,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
bkbsne1,Black-chested Snake-Eagle,Circaetus pectoralis,E Sudan and Ethiopia to South Africa,"Vultures, Hawks, and Allies"
bkbsun1,Black-bellied Sunbird,Cinnyris nectarinioides,,Sunbirds and Spiderhunters
bkbtan1,Black-bellied Tanager,Ramphocelus melanogaster,,Tanagers and Allies
bkbtho1,Black-bellied Thorntail,Discosura langsdorffi,,Hummingbirds
bkbthr1,Black-billed Thrush (Drab),Turdus ignobilis ignobilis/goodfellowi,,Thrushes
bkbthr2,Black-billed Thrush (Amazonian),Turdus ignobilis debilis,"E Colombia to w Venezuela, nw Brazil, e Peru and n Bolivia",Thrushes
bkbthr3,Campina Thrush,Turdus arthuri,"eastern Colombia east to southern Venezuela and Guyana, south locally to central Amazonian Brazil, from the east bank of the Rio Madeira to the east bank of the Rio Tapajós",Thrushes
bkbthr4,Pantepui Thrush,Turdus murinus,SE Venezuela (Amazonas and Bolívar) and Guyana,Thrushes
bkbtit1,Black-bibbed Tit,Poecile hypermelaenus,Central and e China to se Tibet and w Myanmar,"Tits, Chickadees, and Titmice"
bkbtit2,Rufous-naped Tit,Periparus rufonuchalis,Oak-rhododendron forests of Turkestan to w China and Nepal,"Tits, Chickadees, and Titmice"
bkbtit3,Black-browed Tit,Aegithalos iouschistos,,Long-tailed Tits and Bushtit
bkbtit4,Black-browed Tit (Black-browed),Aegithalos iouschistos bonvaloti/obscuratus,,Long-tailed Tits and Bushtit
bkbtit5,Black-browed Tit (Rufous-fronted),Aegithalos iouschistos iouschistos,Himalayas (Nepal to n India and se Tibet,Long-tailed Tits and Bushtit
bkbtit6,Black-browed Tit (Burmese),Aegithalos iouschistos sharpei,Montane forests of sw Myanmar (Mt. Victoria),Long-tailed Tits and Bushtit
bkbtof1,Black-backed Tody-Flycatcher,Poecilotriccus pulchellus,Humid foothills of se Peru (Cuzco and Puno),"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
bkbtri1,Black-browed Triller (Black-browed),Lalage atrovirens atrovirens,"Misool, Salawati and Waigeo islands and n New Guinea",Cuckooshrikes
bkbtri2,Black-browed Triller (Biak),Lalage atrovirens leucoptera,Biak I. (n New Guinea),Cuckooshrikes
bkbtur1,Black-billed Turaco (Green-rumped),Tauraco schuettii emini,"South Sudan to eastern Democratic Republic of the Congo, Uganda, Burundi, western Kenya, and northern Tanzania",Turacos
bkbtur2,Black-billed Turaco (Black-rumped),Tauraco schuettii schuettii,Democratic Republic of the Congo east to the Ituri Basin and south to northern Angola,Turacos
bkbwag,White Wagtail (Black-backed),Motacilla alba lugens,SE Russia to n Korea and Japan.; >Myanmar to se China,Wagtails and Pipits
bkbwar,Blackburnian Warbler,Setophaga fusca,E North America; winters Costa Rica to Bolivia,Wood-Warblers
bkbwea1,Black-billed Weaver (Western),Ploceus melanogaster melanogaster,Mountains of extreme se Nigeria and w Cameroon; Bioko,Weavers and Allies
bkbwea2,Black-billed Weaver (Eastern),Ploceus melanogaster stephanophorus,"extreme southeastern South Sudan, eastern Democratic Republic of the Congo, western and eastern Uganda, western Kenya, Rwanda, and extreme northwestern Tanzania",Weavers and Allies
bkbwhd1,Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens,S US to Panama,Waterfowl
bkbwhd2,Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis,Panama to n Argentina (mainly east of Andes),Waterfowl
bkbwoo,Black-backed Woodpecker,Picoides arcticus,Boreal forests of n North America,Woodpeckers
bkbwoo1,Black-banded Woodcreeper (Spot-throated),Dendrocolaptes picumnus [puncticollis Group],,Woodcreepers
bkbwoo2,Black-banded Woodcreeper (Black-banded),Dendrocolaptes picumnus [picumnus Group],,Woodcreepers
bkbwoo3,Black-banded Woodcreeper (Pale-billed),Dendrocolaptes picumnus pallescens/casaresi,,Woodcreepers
bkcant1,Black-crested Antshrike (Streak-fronted),Sakesphorus canadensis pulchellus,Caribbean slope of n Colombia and extreme nw Venezuela,Antbirds
bkcant2,Black-crested Antshrike (Black-crested),Sakesphorus canadensis [canadensis Group],,Antbirds
bkcapa1,Black-capped Apalis (Black-capped),Apalis nigriceps nigriceps,Sierra Leone to Gabon and Central African Republic; Bioko,Cisticolas and Allies
bkcapa2,Black-capped Apalis (White-tailed),Apalis nigriceps collaris,E Democratic Republic of the Congo to sw Uganda,Cisticolas and Allies
bkcbab1,Black-capped Babbler (Black-capped),Pellorneum capistratum [nigrocapitatum Group],,Ground Babblers and Allies
bkcbab2,Black-capped Babbler (Rufous-browed),Pellorneum capistratum capistratum,Java,Ground Babblers and Allies
bkcbar1,Black-crowned Barwing,Actinodura sodangorum,Western highlands of Vietnam,Laughingthrushes and Allies
bkcbul1,Flame-throated Bulbul,Rubigula gularis,Hills of sw India (w Mysore to Kerala and Tamil Nadu),Bulbuls
bkcbul2,Black-capped Bulbul,Rubigula melanicterus,Sri Lanka,Bulbuls
bkcbul3,Ruby-throated Bulbul,Rubigula dispar,Sumatra and Java,Bulbuls
bkcbul4,Bornean Bulbul,Rubigula montis,Highlands of n Borneo,Bulbuls
bkccat1,Black-capped Catbird,Ailuroedus melanocephalus,Mountains of se New Guinea,Scrub-birds and Bowerbirds
bkcchi,Black-capped Chickadee,Poecile atricapillus,,"Tits, Chickadees, and Titmice"
bkcdon,Black-capped Donacobius,Donacobius atricapilla,,Donacobius
bkcful1,Black-crowned Fulvetta,Schoeniparus klossi,S Vietnam (Langbian Plateau),Ground Babblers and Allies
bkcgna,Black-capped Gnatcatcher,Polioptila nigriceps,,Gnatcatchers
bkchem1,Black-capped Hemispingus (Black-capped),Kleinothraupis atropileus atropileus,Andes of Colombia to sw Venezuela (Táchira) and Ecuador,Tanagers and Allies
bkchem2,Black-capped Hemispingus (White-browed),Kleinothraupis atropileus auricularis,Andes of e Peru (Amazonas to Cuzco),Tanagers and Allies
bkchon1,Black-chinned Honeyeater (Golden-backed),Melithreptus gularis laetior,"N Australia (Pilbara region, W Australia to Cape York Pen.)",Honeyeaters
bkchon2,Black-chinned Honeyeater (Black-chinned),Melithreptus gularis gularis,SE Australia (c Qld. to c Victoria and se South Australia),Honeyeaters
bkchum,Black-chinned Hummingbird,Archilochus alexandri,Arid sw British Columbia to nw Mexico; winters to s Mexico,Hummingbirds
bkcjay1,Black-collared Jay (Black-collared),Cyanolyca armillata armillata/meridana,,"Jays, Magpies, Crows, and Ravens"
bkcjay2,Black-collared Jay (Quindio),Cyanolyca armillata quindiuna,Andes of s Colombia and n Ecuador (e Carchi and nw Napo),"Jays, Magpies, Crows, and Ravens"
bkclau1,Banasura Laughingthrush,Montecincla jerdoni,Hill forests of sw India (Western Ghats in Coorg region),Laughingthrushes and Allies
bkclau2,Nilgiri Laughingthrush,Montecincla cachinnans,SW Peninsular India (Nilgiri Hills in w Tamil Nadu),Laughingthrushes and Allies
bkcmon1,Black-crowned Monjita,Xolmis coronatus,"S Argentina; winters to s Bolivia, Paraguay and extreme s Brazil","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
bkcmot1,Black-cheeked Mountain-Tanager,Anisognathus melanogenys,Santa Marta Mountains (ne Colombia),Tanagers and Allies
bkcnih1,Black-crowned Night-Heron (Eurasian),Nycticorax nycticorax nycticorax,"Eurasia south to Indonesia, Africa and Madagascar","Herons, Ibis, and Allies"
bkcnih2,Black-crowned Night-Heron (American),Nycticorax nycticorax hoactli,S Canada to n Argentina and Chile,"Herons, Ibis, and Allies"
bkcnih3,Black-crowned Night-Heron (Falklands),Nycticorax nycticorax falklandicus,Falkland Islands,"Herons, Ibis, and Allies"
bkcnih4,Black-crowned Night-Heron (Dusky),Nycticorax nycticorax obscurus,N Chile and n-central Argentina to Tierra del Fuego,"Herons, Ibis, and Allies"
bkcori,Black-cowled Oriole,Icterus prosthemelas,,Blackbirds
bkcpet,Black-capped Petrel,Pterodroma hasitata,,"Petrels, Shearwaters, and Diving-Petrels"
bkcpet1,Black-capped Petrel (hasitata),Pterodroma hasitata hasitata,"Cuba, Hispaniola, Guadeloupe and Dominica ; ranges w Atlantic","Petrels, Shearwaters, and Diving-Petrels"
bkcpet3,Black-capped Petrel (Dark-faced),Pterodroma hasitata (Dark-faced),,"Petrels, Shearwaters, and Diving-Petrels"
bkcpet4,Black-capped Petrel (White-faced),Pterodroma hasitata (White-faced),,"Petrels, Shearwaters, and Diving-Petrels"
bkcpip1,Black-capped Piprites,Piprites pileata,Locally from se Brazil (Rio de Janeiro) to ne Argentina,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
bkcruw1,Black-capped Rufous-Warbler,Bathmocercus cerviniventris,"Sierra Leone to se Guinea, Liberia, Ivory Coast and Ghana",Cisticolas and Allies
bkcsco1,Black-capped Screech-Owl,Megascops atricapilla,SE Brazil (s Bahia) to se Paraguay and ne Argentina (Misiones),Owls
bkcspa,Black-chinned Sparrow,Spizella atrogularis,,New World Sparrows
bkcspa1,Black-capped Sparrow (Black-capped),Arremon abeillei abeillei,Arid scrub of sw Ecuador (Manabí) to nw Peru (Cajamarca),New World Sparrows
bkcspa2,Black-capped Sparrow (Marañon),Arremon abeillei nigriceps,NW Peru (upper Marañón Valley),New World Sparrows
bkcsta1,Black-collared Starling,Gracupica nigricollis,Open country and scrub of s China and SE Asia,Starlings and Mynas
bkctch1,Black-crowned Tchagra,Tchagra senegalus,,Bushshrikes and Allies
bkctch2,Black-crowned Tchagra (Hooded),Tchagra senegalus cucullatus,Coastal Morocco to Algeria and Tunisia,Bushshrikes and Allies
bkctch3,Black-crowned Tchagra (Black-crowned),Tchagra senegalus [senegalus Group],,Bushshrikes and Allies
bkctit1,Black-crested Tit-Tyrant,Anairetes nigrocristatus,Andes of extreme s Ecuador and w Peru (south to Pasco),"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
bkctit2,Coal Tit (Black-crested),Periparus ater melanolophus,Coniferous forests of e Afghanistan to w Nepal,"Tits, Chickadees, and Titmice"
